,Type,Created Date and Time,X Coordinate,Y Coordinate,Year
3900 W CORTLAND ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 10:32 AM,1149711,1912332,2014
800 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 10:19 AM,1170107,1919803,2014
800 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 10:18 AM,1170080,1919802,2014
400 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 8:46 AM,1172921,1919881,2014
500 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 8:44 AM,1172368,1919866,2014
500 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 8:41 AM,1172381,1919867,2014
2400 E SOUTH SHORE DR,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 7:52 PM,1193451,1858370,2014
2700 W 42ND ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 7:37 PM,1158623,1876692,2014
1300 W FULLERTON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 7:22 PM,1167255,1916071,2014
100 N GREEN ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 6:46 PM,1170715,1900880,2014
800 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 6:11 PM,1170080,1919802,2014
11100 S TALMAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 5:52 PM,1160697,1830852,2014
300 N MICHIGAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 5:39 PM,1177254,1902682,2014
7700 N PAULINA ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 5:25 PM,1163657,1951422,2014
5500 S BLACKSTONE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 5:04 PM,1186857,1868670,2014
600 W WELLINGTON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 4:57 PM,1171176,1920187,2014
1200 E 52ND ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 4:02 PM,1185218,1870910,2014
2600 W 111TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 3:57 PM,1160600,1830917,2014
3100 W ADDISON ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 3:51 PM,1154608,1923766,2014
5500 S BLACKSTONE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 3:49 PM,1186857,1868670,2014
3600 W 115TH PL,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 2:52 PM,1154233,1827763,2014
10200 S CHARLES ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 2:51 PM,1168272,1837109,2014
5500 N WAYNE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 2:50 PM,1166306,1937024,2014
4000 W PALMER ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 2:49 PM,1149343,1914322,2014
1300 W BRYN MAWR AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 2:45 PM,1166168,1937310,2014
1400 W BELMONT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 2:43 PM,1166038,1921342,2014
300 E 31ST ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 2:23 PM,1178907,1884513,2014
300 E 31ST ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 2:19 PM,1178635,1884506,2014
1100 N WOOD ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 1:39 PM,1164189,1907599,2014
7100 S DR MARTIN LUTHER KING JR DR,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 1:31 PM,1180147,1857946,2014
2600 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:59 PM,1159702,1862775,2014
2600 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:59 PM,1159813,1862778,2014
1700 E 56TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:57 PM,1188612,1868203,2014
2600 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:57 PM,1159877,1862780,2014
2600 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:56 PM,1159834,1862778,2014
2600 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:55 PM,1159737,1862776,2014
2600 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:54 PM,1159707,1862775,2014
2600 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:54 PM,1159687,1862774,2014
2600 W 63RD ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:53 PM,1159687,1862774,2014
1700 E 56TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:48 PM,1188612,1868203,2014
4600 N MALDEN ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 10:24 AM,1166708,1930683,2014
4000 W CORTLAND ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 10:21 AM,1149354,1912324,2014
3000 S NORMAL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 10:15 AM,1173449,1884923,2014
600 W ARMITAGE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 9:39 AM,1171679,1913548,2014
5400 W RICE ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 9:34 AM,1139831,1905135,2014
6200 S MOODY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 9:20 AM,1136473,1862781,2014
5600 S ARCHER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 8:59 AM,1142864,1869289,2014
4600 N BEACON ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 8:45 AM,1166296,1930901,2014
4600 W 79TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 8:38 AM,1147114,1851802,2014
4400 W 28TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 8:22 AM,1147515,1885017,2014
3500 S RHODES AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 8:21 AM,1180158,1881898,2014
5300 W FULLERTON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 8:14 AM,1140642,1915447,2014
900 W CARMEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 8:08 AM,1169199,1933968,2014
9200 S BURLEY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 8:05 AM,1199272,1844573,2014
4400 W 28TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 8:00 AM,1147515,1885017,2014
4600 N MAGNOLIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 7:45 AM,1167073,1931036,2014
4600 N MAGNOLIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 7:41 AM,1167073,1931036,2014
100 S SPRINGFIELD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 7:34 AM,1150410,1899220,2014
3000 N ASHLAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 7:34 AM,1165118,1920417,2014
700 W SHERIDAN RD,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 7:31 AM,1170645,1926149,2014
1700 W POTOMAC AVE,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:35 AM,1164525,1908615,2014
1300 N MOORMAN ST,Snow - Uncleared Sidewalk or Bike Lane,3/13/14 12:32 AM,1164607,1908705,2014
1300 W EARLY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 11:32 PM,1166230,1938612,2014
5200 N WINTHROP AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 11:02 PM,1167930,1934778,2014
3700 S VINCENNES AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 10:13 PM,1180928,1880466,2014
2600 W CORTLAND ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 10:10 PM,1158447,1912523,2014
1900 W WINNEMAC AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 10:04 PM,1162415,1933533,2014
1800 N RICHMOND ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 9:37 PM,1156527,1912114,2014
1800 W FARRAGUT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 8:33 PM,1163052,1934893,2014
1300 W EARLY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 8:33 PM,1166230,1938612,2014
1300 W EARLY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 8:30 PM,1166230,1938612,2014
1300 W EARLY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 8:27 PM,1166230,1938612,2014
1900 W SCHOOL ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 8:07 PM,1162798,1921924,2014
1900 W SCHOOL ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 8:05 PM,1162811,1921925,2014
1100 N HERMITAGE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 7:39 PM,1164518,1907676,2014
4000 N MOZART ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 7:36 PM,1156664,1926600,2014
4000 N MOZART ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 7:35 PM,1156659,1926760,2014
2000 W CULLERTON ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 7:20 PM,1163342,1890411,2014
2300 N LISTER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 7:17 PM,1162949,1915277,2014
2300 N LISTER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 7:16 PM,1163044,1915199,2014
4100 W 87TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 7:01 PM,1150600,1846547,2014
4100 W 87TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 7:01 PM,1150533,1846545,2014
100 W ILLINOIS ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 6:27 PM,1174980,1903576,2014
1500 N DAYTON ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 6:26 PM,1170397,1910387,2014
1500 N DAYTON ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 6:26 PM,1170393,1910554,2014
1400 E 71ST ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 6:10 PM,1187035,1858191,2014
3400 W BRYN MAWR AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 4:48 PM,1152548,1937003,2014
3200 W BRYN MAWR AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 3:43 PM,1153873,1937036,2014
6200 N NIAGARA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 3:42 PM,1129140,1940790,2014
900 W WRIGHTWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 3:34 PM,1169577,1917465,2014
2600 N WILTON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 3:33 PM,1169511,1917496,2014
4500 N MERRIMAC AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 2:57 PM,1133855,1929895,2014
6600 S MAY ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 2:40 PM,1169787,1861018,2014
6600 S MAY ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 2:40 PM,1169789,1860938,2014
6600 S MAY ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 2:39 PM,1169789,1860958,2014
8300 S KARLOV AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 2:35 PM,1150517,1849045,2014
2400 N LAWNDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 2:17 PM,1151302,1916082,2014
8800 S DANTE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 1:58 PM,1187331,1846603,2014
8800 S DANTE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 1:58 PM,1187330,1846630,2014
3200 N KEATING AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 12:46 PM,1144259,1921044,2014
1400 W WINONA ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 12:22 PM,1165455,1934297,2014
12400 S HARVARD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 12:21 PM,1176206,1822546,2014
2400 W BYRON ST,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 12:17 PM,1159515,1925827,2014
6500 S SEELEY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 12:10 PM,1163813,1861539,2014
4700 N DAMEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 12:02 PM,1162162,1931225,2014
4700 N DAMEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 12:00 PM,1162158,1931354,2014
5600 S ARCHER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 11:45 AM,1142864,1869289,2014
3600 N KEDZIE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 11:34 AM,1154414,1923770,2014
8500 S SEELEY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 11:33 AM,1164176,1848056,2014
7100 W IRVING PARK RD,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 11:26 AM,1127962,1925817,2014
3700 N GREENVIEW AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 10:30 AM,1165653,1924657,2014
3700 N GREENVIEW AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 10:28 AM,1165650,1924791,2014
1100 N LATROBE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 9:34 AM,1141155,1906980,2014
200 S CENTRAL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/12/14 7:27 AM,1139088,1898560,2014
1300 W COLUMBIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/11/14 10:04 PM,1166122,1944934,2014
100 W SCHILLER ST,Snow - Uncleared Sidewalk or Bike Lane,3/11/14 6:16 PM,1174678,1909727,2014
2000 W PIERCE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/11/14 5:49 PM,1162644,1910243,2014
3500 W AINSLIE ST,Snow - Uncleared Sidewalk or Bike Lane,3/11/14 3:21 PM,1151742,1932325,2014
200 N PARKSIDE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/11/14 2:45 PM,1138560,1900943,2014
2500 S HALSTED ST,Snow - Uncleared Sidewalk or Bike Lane,3/10/14 10:55 PM,1171400,1887272,2014
1700 W WABANSIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/10/14 10:35 PM,1164633,1911371,2014
2800 W SHAKESPEARE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/10/14 3:43 PM,1156914,1914306,2014
2800 W SHAKESPEARE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/10/14 3:38 PM,1156914,1914306,2014
2800 W SHAKESPEARE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/10/14 3:37 PM,1156914,1914306,2014
2700 W PRATT BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/10/14 3:37 PM,1156701,1945003,2014
2800 W SHAKESPEARE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/10/14 3:21 PM,1156914,1914306,2014
800 W BELLE PLAINE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/10/14 3:01 PM,1170173,1927787,2014
1600 W HOLLYWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/10/14 9:51 AM,1164255,1937854,2014
1600 W HOLLYWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/9/14 10:20 PM,1164255,1937854,2014
1300 W NORTH SHORE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/9/14 8:11 PM,1166076,1944573,2014
1700 W WOLFRAM ST,Snow - Uncleared Sidewalk or Bike Lane,3/9/14 11:34 AM,1164289,1918965,2014
1700 W WOLFRAM ST,Snow - Uncleared Sidewalk or Bike Lane,3/9/14 11:33 AM,1164211,1918962,2014
1300 E 52ND ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 4:36 PM,1186182,1870932,2014
1400 W MELROSE ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 4:35 PM,1166229,1921678,2014
1400 W MELROSE ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 4:35 PM,1166282,1921679,2014
1400 W MELROSE ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 4:35 PM,1166296,1921679,2014
3200 N LAMON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 2:56 PM,1143135,1920954,2014
5400 S EVERETT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 12:59 PM,1188973,1869101,2014
4100 N TROY ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 12:48 PM,1154653,1927133,2014
800 S WELLS ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 12:36 PM,1174837,1896701,2014
800 S WELLS ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 12:31 PM,1174837,1896701,2014
9500 S HALSTED ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 11:05 AM,1172650,1841846,2014
4800 N KENNETH AVE,Snow - Uncleared Sidewalk or Bike Lane,3/8/14 3:36 AM,1145819,1931941,2014
1700 W LELAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 9:03 PM,1164332,1931273,2014
1700 E 83RD PL,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 7:39 PM,1189054,1849954,2014
1400 N SPRINGFIELD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 4:08 PM,1150114,1909352,2014
900 S CLARK ST,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 4:03 PM,1175660,1896187,2014
6500 S KIMBARK AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 12:55 PM,1185756,1862150,2014
2900 N BURLING ST,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 12:41 PM,1170791,1919518,2014
5100 S CENTRAL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 11:51 AM,1139888,1870188,2014
1800 N HOWE ST,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 11:10 AM,1171656,1912410,2014
800 W WEBSTER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 11:09 AM,1170203,1914833,2014
2200 N ORCHARD ST,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 11:08 AM,1171241,1915022,2014
2200 N ORCHARD ST,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 11:08 AM,1171243,1914982,2014
2200 N ORCHARD ST,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 11:08 AM,1171244,1914929,2014
2200 N ORCHARD ST,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 11:07 AM,1171246,1914889,2014
2000 N FREMONT ST,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 11:06 AM,1169963,1913767,2014
3300 W BELMONT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 10:39 AM,1153586,1921087,2014
1700 W GREENLEAF AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 10:22 AM,1163789,1947009,2014
2100 W FOSTER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 10:19 AM,1161292,1934514,2014
1700 W GREENLEAF AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 10:19 AM,1163891,1947012,2014
2700 W PETERSON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 9:59 AM,1157249,1939755,2014
7900 S SOUTH SHORE DR,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 9:46 AM,1198501,1853182,2014
800 W BUENA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 9:28 AM,1169848,1928197,2014
500 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 9:03 AM,1172394,1919867,2014
1200 W GRANVILLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 8:52 AM,1166746,1941315,2014
1200 W GRANVILLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 8:52 AM,1166774,1941315,2014
1200 W GRANVILLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 8:51 AM,1166803,1941316,2014
1200 W GRANVILLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 8:48 AM,1166822,1941316,2014
6300 S WOODLAWN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 8:45 AM,1185299,1863475,2014
600 W ARMITAGE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/7/14 6:27 AM,1171679,1913548,2014
2700 W ROOSEVELT RD,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 10:48 PM,1158447,1894604,2014
4400 N ELSTON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 10:41 PM,1148428,1928930,2014
1700 W WABANSIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 9:57 PM,1164548,1911369,2014
1700 W WABANSIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 9:56 PM,1164633,1911371,2014
1500 S KEDVALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 7:52 PM,1148966,1892254,2014
5800 N CAMPBELL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 5:02 PM,1158610,1938505,2014
5800 N ARTESIAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 5:02 PM,1158943,1938443,2014
5100 S LECLAIRE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 5:01 PM,1143224,1870311,2014
600 W WELLINGTON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 4:28 PM,1171176,1920187,2014
8600 S ESSEX AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 4:16 PM,1194324,1848284,2014
4700 S ELLIS AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 4:15 PM,1183716,1873772,2014
1800 N PULASKI RD,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 4:11 PM,1149428,1911816,2014
100 W EUGENIE ST,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 4:03 PM,1174588,1911625,2014
3900 W CORTLAND ST,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 2:43 PM,1149672,1912331,2014
300 W GRAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 2:30 PM,1173747,1903836,2014
2700 N HAMPDEN CT,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 12:00 PM,1172429,1918315,2014
1200 N ARTESIAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 10:54 AM,1159846,1908282,2014
1200 N CAMPBELL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 10:52 AM,1159513,1908214,2014
1200 N CAMPBELL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 10:50 AM,1159511,1908275,2014
6300 S WOODLAWN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 9:20 AM,1185299,1863475,2014
2600 W COYLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 9:20 AM,1157615,1946021,2014
2500 W COYLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 9:19 AM,1158032,1946035,2014
7400 N HOYNE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 9:19 AM,1160972,1949393,2014
2700 N LINCOLN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 9:18 AM,1167815,1918736,2014
1100 N LOCKWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 9:17 AM,1140813,1907208,2014
4200 N MARINE DR,Snow - Uncleared Sidewalk or Bike Lane,3/6/14 9:10 AM,1170978,1928971,2014
