,Type,Created Date and Time,X Coordinate,Y Coordinate,Year
1300 W 107TH PL,Snow - Uncleared Sidewalk or Bike Lane,4/24/14 1:57 PM,1169138,1833609,2014
6700 S JEFFERY BLVD,Snow - Uncleared Sidewalk or Bike Lane,4/15/14 7:16 AM,1190699,1860946,2014
2800 S ST LOUIS AVE,Snow - Uncleared Sidewalk or Bike Lane,3/26/14 12:21 PM,1153488,1885175,2014
7600 S EBERHART AVE,Snow - Uncleared Sidewalk or Bike Lane,3/26/14 6:49 AM,1180891,1854729,2014
3000 S NORMAL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/25/14 9:51 AM,1173449,1884923,2014
3300 W WILSON AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/14 3:27 PM,1153141,1930331,2014
400 W ROSLYN PL,Snow - Uncleared Sidewalk or Bike Lane,3/23/14 11:02 AM,1173040,1917112,2014
1600 W HOWARD ST,Snow - Uncleared Sidewalk or Bike Lane,3/21/14 8:42 AM,1163699,1950346,2014
1000 W DAKIN ST,Snow - Uncleared Sidewalk or Bike Lane,3/20/14 4:57 PM,1168622,1926373,2014
2200 N MAPLEWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/20/14 11:51 AM,1158942,1914911,2014
2500 W LYNDALE ST,Snow - Uncleared Sidewalk or Bike Lane,3/20/14 11:50 AM,1159169,1914987,2014
900 S BELL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/20/14 9:05 AM,1161525,1895936,2014
3600 N LAKE SHORE DR,Snow - Uncleared Sidewalk or Bike Lane,3/20/14 8:04 AM,1171733,1925029,2014
5200 W FLETCHER ST,Snow - Uncleared Sidewalk or Bike Lane,3/18/14 10:43 PM,1141097,1920446,2014
100 N CANAL ST,Snow - Uncleared Sidewalk or Bike Lane,3/18/14 10:22 AM,1173122,1900784,2014
100 N GREEN ST,Snow - Uncleared Sidewalk or Bike Lane,3/17/14 6:22 PM,1170713,1900936,2014
3400 N KARLOV AVE,Snow - Uncleared Sidewalk or Bike Lane,3/17/14 1:39 PM,1148615,1922815,2014
1800 W GRANVILLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/17/14 12:37 PM,1163005,1941214,2014
4600 W 79TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/17/14 10:31 AM,1147114,1851802,2014
7400 S EXCHANGE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/17/14 10:28 AM,1194717,1856393,2014
3800 N CENTRAL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/14 3:10 PM,1138326,1925175,2014
1300 W ROSCOE ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/14 8:58 AM,1166887,1922698,2014
7100 W IRVING PARK RD,Snow - Uncleared Sidewalk or Bike Lane,3/15/14 5:15 PM,1127962,1925817,2014
7100 W IRVING PARK RD,Snow - Uncleared Sidewalk or Bike Lane,3/15/14 5:13 PM,1127850,1925818,2014
6700 N SHERIDAN RD,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 5:36 PM,1167037,1944648,2014
1500 N KEDZIE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 3:55 PM,1154746,1910458,2014
1400 W FOSTER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 12:58 PM,1165514,1934629,2014
1400 W FOSTER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 12:57 PM,1165554,1934630,2014
900 W CARMEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 12:23 PM,1169199,1933968,2014
3500 N SOUTHPORT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 12:18 PM,1166341,1923601,2014
3400 N ELAINE PL,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 12:03 PM,1170809,1923054,2014
3700 W DIVISION ST,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 11:51 AM,1151358,1907743,2014
2000 N NATCHEZ AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 10:56 AM,1132752,1913037,2014
2000 N NAGLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/14/14 10:42 AM,1133084,1913002,2014
