,Type,Created Date and Time,X Coordinate,Y Coordinate,Year
4700 S GREENWOOD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/11/13 10:38 AM,1184378,1873868,2013
8400 S KILBOURN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/11/13 7:55 AM,1147854,1848024,2013
4900 N JANSSEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/9/13 8:02 PM,1165540,1933070,2013
4200 S CICERO AVE,Snow - Uncleared Sidewalk or Bike Lane,3/9/13 7:57 PM,1145070,1876096,2013
1400 W ARGYLE ST,Snow - Uncleared Sidewalk or Bike Lane,3/9/13 7:50 PM,1165519,1933298,2013
2900 N BURLING ST,Snow - Uncleared Sidewalk or Bike Lane,3/9/13 11:30 AM,1170786,1919533,2013
2100 N BELL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/9/13 10:20 AM,1161056,1914526,2013
1900 E 72ND ST,Snow - Uncleared Sidewalk or Bike Lane,3/9/13 7:47 AM,1190607,1857619,2013
1700 W DIVERSEY PKWY,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 4:29 PM,1164519,1918643,2013
1700 W WOLFRAM ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 4:27 PM,1164108,1918959,2013
1700 W WOLFRAM ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 4:26 PM,1164289,1918965,2013
1700 W WOLFRAM ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 4:25 PM,1164289,1918965,2013
1700 W WOLFRAM ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 4:24 PM,1164469,1918971,2013
1700 W WOLFRAM ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 4:23 PM,1164469,1918971,2013
1600 W WOLFRAM ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 4:22 PM,1164934,1918983,2013
1400 W LELAND AVE,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 11:43 AM,1165700,1931306,2013
4900 N TALMAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 9:33 AM,1157803,1932813,2013
5000 N LINCOLN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 9:27 AM,1158977,1933074,2013
5300 S TALMAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 8:37 AM,1159612,1869112,2013
5400 S RIDGEWAY AVE,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 8:23 AM,1152291,1868542,2013
3700 W 55TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/8/13 8:23 AM,1152421,1867872,2013
