,Type,Created Date and Time,X Coordinate,Y Coordinate,Year
7300 W FOREST PRESERVE AVE,Snow - Uncleared Sidewalk or Bike Lane,4/19/16 7:03 PM,1126238,1925498,2016
9100 S NORMAL AVE,Snow - Uncleared Sidewalk or Bike Lane,4/18/16 8:17 PM,1174572,1844246,2016
0 E BURTON PL,Snow - Uncleared Sidewalk or Bike Lane,4/9/16 3:38 PM,1176397,1910403,2016
1000 N STATE ST,Snow - Uncleared Sidewalk or Bike Lane,4/9/16 3:15 PM,1176172,1907533,2016
1200 W LELAND AVE,Snow - Uncleared Sidewalk or Bike Lane,4/9/16 2:14 PM,1167384,1931355,2016
7000 S VERNON AVE,Snow - Uncleared Sidewalk or Bike Lane,4/9/16 12:39 PM,1180465,1858438,2016
6400 N CENTRAL AVE,Snow - Uncleared Sidewalk or Bike Lane,4/9/16 10:22 AM,1139066,1942131,2016
6600 S CAMPBELL AVE,Snow - Uncleared Sidewalk or Bike Lane,4/9/16 8:51 AM,1160852,1860546,2016
900 W GUNNISON ST,Snow - Uncleared Sidewalk or Bike Lane,4/5/16 7:13 AM,1169403,1932416,2016
6900 W 65TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/5/16 10:20 AM,1131405,1860630,2016
2900 W 64TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 12:56 PM,1157796,1862058,2016
0 E ELM ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 12:15 PM,1176733,1908116,2016
0 E ELM ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 12:12 PM,1176690,1908115,2016
0 E ELM ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 12:09 PM,1176668,1908114,2016
0 E ELM ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 12:08 PM,1176647,1908114,2016
0 E ELM ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 12:05 PM,1176454,1908108,2016
0 E ELM ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 12:02 PM,1176432,1908107,2016
1900 W WINNEMAC AVE,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 11:23 AM,1162401,1933533,2016
5500 S HYDE PARK BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 10:49 AM,1188598,1868716,2016
5500 S HYDE PARK BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 10:48 AM,1188597,1868742,2016
1900 W 95TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 9:22 AM,1164973,1841652,2016
9700 S DAMEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 9:21 AM,1164733,1840314,2016
4100 W BERTEAU AVE,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 9:19 AM,1147915,1927589,2016
9600 S DAMEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 9:12 AM,1164721,1840716,2016
1400 W CORNELIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 8:29 AM,1166125,1923341,2016
1400 W CORNELIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 8:27 AM,1166146,1923342,2016
1400 W CORNELIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 8:23 AM,1166167,1923342,2016
1400 W CORNELIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 6:45 AM,1166189,1923343,2016
4000 W MARQUETTE RD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:38 AM,1150389,1859860,2016
4200 W MARQUETTE RD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:37 AM,1149257,1859835,2016
4400 W MARQUETTE RD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:36 AM,1147927,1859805,2016
4100 W MARQUETTE RD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:36 AM,1149922,1859850,2016
4100 W MARQUETTE RD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:34 AM,1149723,1859845,2016
4200 W MARQUETTE RD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:33 AM,1149514,1859841,2016
4200 W MARQUETTE RD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:33 AM,1149152,1859832,2016
4300 W MARQUETTE RD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:32 AM,1148743,1859822,2016
4300 W MARQUETTE RD,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:32 AM,1148849,1859825,2016
4100 W 59TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:31 AM,1149571,1865153,2016
4200 W 59TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/4/16 3:30 AM,1149110,1865143,2016
