,Type,Created Date and Time,X Coordinate,Y Coordinate,Year
5800 W FILLMORE ST,Snow - Uncleared Sidewalk or Bike Lane,4/2/15 10:28 AM,1137484,1894750,2015
3900 W BELMONT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/28/15 8:45 AM,1149403,1920985,2015
3200 W BEACH AVE,Snow - Uncleared Sidewalk or Bike Lane,3/27/15 7:38 PM,1154687,1909460,2015
400 W ST JAMES PL,Snow - Uncleared Sidewalk or Bike Lane,3/25/15 4:02 AM,1172739,1917184,2015
3500 N AVONDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 9:06 PM,1151367,1923486,2015
1400 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 7:31 PM,1166122,1919682,2015
1400 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 7:30 PM,1166189,1919683,2015
1400 W OAKDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 7:30 PM,1166255,1919685,2015
2100 W HURON ST,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 6:26 PM,1162191,1904659,2015
1600 W LUNT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 4:45 PM,1164394,1946582,2015
10500 S ARTESIAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 4:16 PM,1161906,1834744,2015
2200 W IOWA ST,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 3:47 PM,1161474,1905963,2015
2200 W CORTEZ ST,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 3:46 PM,1161541,1906959,2015
900 N LEAVITT ST,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 3:45 PM,1161563,1906386,2015
3500 S WALLACE ST,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 3:30 PM,1172869,1881699,2015
4900 N SHERIDAN RD,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 3:19 PM,1168734,1933321,2015
4900 N WINTHROP AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 3:16 PM,1167979,1933007,2015
1200 W AINSLIE ST,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 3:12 PM,1167424,1932909,2015
900 W MARGATE TER,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 3:07 PM,1169344,1933288,2015
5800 N WEST CIRCLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 2:40 PM,1127773,1938217,2015
8500 S PRAIRIE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/24/15 2:28 PM,1179519,1848564,2015
