Unit,Department Name,Department Description,Department Category
584,CPD-Other,Other Police,CPD
585,CPD-Other,Other Police,CPD
595,CPD-Other,Other Police,CPD
641,CPD-Other,Other Police,CPD
693,CPD-Other,Other Police,CPD
704,CPD-Other,Other Police,CPD
717,CPD-Other,Other Police,CPD
749,CPD-Other,Other Police,CPD
76,CPD-Other,Other Police,CPD
777,CPD-Other,Other Police,CPD
802,CPD-Other,Other Police,CPD
812,CPD-Other,Other Police,CPD
824,CPD-Other,Other Police,CPD
832,CPD-Other,Other Police,CPD
835,CPD-Other,Other Police,CPD
88,CPD-Other,Other Police,CPD
90,CPD-Other,Other Police,CPD
922,CPD-Other,Other Police,CPD
924,CPD-Other,Other Police,CPD
927,CPD-Other,Other Police,CPD
96,CPD-Other,Other Police,CPD
968,CPD-Other,Other Police,CPD
990,CPD-Other,Other Police,CPD
D2,CPD-Other,Other Police,CPD
K52,CPD-Other,Other Police,CPD
712,CPD-Other,Office of 1st Deputy Superintendent,CPD
8489,CPD,CPD,CPD
SPD,Speed,Speed,Speed
526,Miscellaneous,Navy Pier Security,Miscellaneous/Other
XERX,Red Light,Red Light,Red light
241,CPD-Other,Troubled Building Section,CPD
261,CPD-Other,Court Section,CPD
277,CPD-Other,Forensic Services,CPD
411,CPD-Other,Area Central Deputy Chief,CPD
413,CPD-Other,Area North Deputy Chief,CPD
442,CPD-Other,Bomb Unit,CPD
2111,CPD-Other,Other Police,CPD
3837,CPD-Other,Other Police,CPD
401,CPD-Other,Other Police,CPD
414,CPD-Other,Other Police,CPD
415,CPD-Other,Other Police,CPD
707,CPD-Other,Other Police,CPD
814,CPD-Other,Other Police,CPD
789,CPD-Other,Other Police,CPD
410,CPD-Other,Other Police,CPD
109,CPD-Other,Other Police,CPD
TEST,CPD-Other,Other Police,CPD
899,Miscellaneous,McCormick Place,Miscellaneous/Other
900,Miscellaneous,Homeland Security,Miscellaneous/Other
714,CPD-Other,Summer Bike Patrol,CPD
9999,Miscellaneous,Miscellaneous,Miscellaneous/Other
1111,Miscellaneous,Miscellaneous,Miscellaneous/Other
